ScenarioID,ScenarioDescription,Ave_lux(lm),DayLight,RA_C1,RA_C2,RA_C3,RA_C4,RA_C5,RB_C1,RB_C2,RB_C3,RB_C4,RB_C5,RC_C1,RC_C2,RC_C3,RC_C4,RC_C5,RD_C1,RD_C2,RD_C3,RD_C4,RD_C5,GridCell_R1C01,GridCell_R1C02,GridCell_R1C03,GridCell_R1C04,GridCell_R1C05,GridCell_R1C06,GridCell_R1C07,GridCell_R1C08,GridCell_R1C09,GridCell_R1C10,GridCell_R1C11,GridCell_R1C12,GridCell_R1C13,GridCell_R1C14,GridCell_R1C15,GridCell_R1C16,GridCell_R1C17,GridCell_R1C18,GridCell_R2C01,GridCell_R2C02,GridCell_R2C03,GridCell_R2C04,GridCell_R2C05,GridCell_R2C06,GridCell_R2C07,GridCell_R2C08,GridCell_R2C09,GridCell_R2C10,GridCell_R2C11,GridCell_R2C12,GridCell_R2C13,GridCell_R2C14,GridCell_R2C15,GridCell_R2C16,GridCell_R2C17,GridCell_R2C18,GridCell_R3C01,GridCell_R3C02,GridCell_R3C03,GridCell_R3C04,GridCell_R3C05,GridCell_R3C06,GridCell_R3C07,GridCell_R3C08,GridCell_R3C09,GridCell_R3C10,GridCell_R3C11,GridCell_R3C12,GridCell_R3C13,GridCell_R3C14,GridCell_R3C15,GridCell_R3C16,GridCell_R3C17,GridCell_R3C18,GridCell_R4C01,GridCell_R4C02,GridCell_R4C03,GridCell_R4C04,GridCell_R4C05,GridCell_R4C06,GridCell_R4C07,GridCell_R4C08,GridCell_R4C09,GridCell_R4C10,GridCell_R4C11,GridCell_R4C12,GridCell_R4C13,GridCell_R4C14,GridCell_R4C15,GridCell_R4C16,GridCell_R4C17,GridCell_R4C18,GridCell_R5C01,GridCell_R5C02,GridCell_R5C03,GridCell_R5C04,GridCell_R5C05,GridCell_R5C06,GridCell_R5C07,GridCell_R5C08,GridCell_R5C09,GridCell_R5C10,GridCell_R5C11,GridCell_R5C12,GridCell_R5C13,GridCell_R5C14,GridCell_R5C15,GridCell_R5C16,GridCell_R5C17,GridCell_R5C18,GridCell_R6C01,GridCell_R6C02,GridCell_R6C03,GridCell_R6C04,GridCell_R6C05,GridCell_R6C06,GridCell_R6C07,GridCell_R6C08,GridCell_R6C09,GridCell_R6C10,GridCell_R6C11,GridCell_R6C12,GridCell_R6C13,GridCell_R6C14,GridCell_R6C15,GridCell_R6C16,GridCell_R6C17,GridCell_R6C18,Luminance_Grid_ImageLink,Scenario_RenderLink,IsCorrectFix,Points
Scenario0A,"Daylight in, All lights OFF",397,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,828,885,879,772,472,815,870,833,517,708,845,853,752,526,807,855,81,512,553,340,564,531,501,403,557,343,456,493,532,536,516,504,325,544,454,418,406,314,419,404,402,371,412,344,387,300,396,397,389,384,284,386,389,397,316,321,326,324,327,321,315,310,300,305,307,305,298,301,293,289,277,282,271,267,271,277,272,254,257,248,255,246,233,232,240,241,230,229,224,235,252,241,255,256,204,204,217,207,216,214,203,202,202,205,184,188,184,156,https://phantom-load.in/media/images/Task11/LuminanceGrid/,https://phantom-load.in/media/images/Task11/ScenarioRender/,FALSE,1
Scenario0B,"Daylight in,  All lights ON",792,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1165,1112,156,1041,828,1017,1013,1017,848,970,999,1008,1016,857,1002,1011,1028,868,1216,1426,818,385,1108,699,745,424,1069,955,748,756,981,1091,415,755,824,1032,1236,1412,712,853,1141,1729,628,400,1088,942,650,648,997,1097,388,629,744,1189,1170,786,630,891,1068,716,536,663,1035,885,571,570,880,1033,667,539,702,1144,1089,714,560,817,994,631,468,590,945,801,483,484,799,941,586,464,630,1023,883,601,502,676,757,504,401,484,748,644,416,414,638,743,470,387,500,787,https://phantom-load.in/media/images/Task11/LuminanceGrid/,https://phantom-load.in/media/images/Task11/ScenarioRender/,FALSE,2
Scenario0C,"No Daylight, All lights ON",692,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,427,443,376,317,248,384,383,350,229,356,386,368,312,284,378,377,339,225,259,145,227,228,226,160,233,143,228,221,227,219,229,228,145,221,193,182,181,126,170,167,177,148,170,165,166,182,166,166,165,162,114,153,135,147,136,128,128,127,129,127,126,127,125,126,127,126,122,122,117,114,110,115,114,103,39,103,102,100,101,100,100,98,85,92,95,95,91,91,88,93,105,88,86,87,86,77,83,82,88,84,81,79,79,79,73,74,73,78,https://phantom-load.in/media/images/Task11/LuminanceGrid/,https://phantom-load.in/media/images/Task11/ScenarioRender/,FALSE,0
Scenario01,"Daylight in, Row A and C lights are OFF",589,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,901,955,946,847,557,880,930,895,596,777,905,912,822,606,871,916,878,593,762,378,668,588,696,509,639,383,677,649,620,625,673,693,365,634,614,692,840,361,561,582,786,551,514,355,750,667,520,520,678,753,333,501,547,778,734,551,478,604,701,516,426,484,665,591,438,437,585,661,478,414,487,690,684,499,425,554,638,448,369,425,605,530,363,354,525,595,413,354,435,633,704,478,404,541,637,401,323,387,593,511,331,330,501,585,369,303,392,619,https://phantom-load.in/media/images/Task11/LuminanceGrid/,https://phantom-load.in/media/images/Task11/ScenarioRender/,FALSE,4
Scenario02,"Daylight in, Row A and B lights are OFF",590,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,873,372,925,824,530,863,918,880,571,757,891,899,801,579,854,902,857,561,622,372,638,606,574,456,621,379,582,561,595,600,585,577,358,612,551,512,583,356,526,644,566,468,498,352,541,613,488,487,528,543,328,482,462,528,775,566,483,624,733,527,428,494,652,612,442,441,606,691,487,416,498,771,942,601,462,696,856,532,387,496,816,684,398,398,680,807,487,374,523,881,815,532,433,609,732,442,340,422,684,581,355,354,572,677,406,324,437,727,https://phantom-load.in/media/images/Task11/LuminanceGrid/,https://phantom-load.in/media/images/Task11/ScenarioRender/,FALSE,5
Scenario03,"Daylight in, Col 2 and 4 lights are OFF",619,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1124,1063,977,853,546,881,948,969,801,923,944,922,815,597,883,952,985,828,1167,376,698,524,582,458,657,382,1017,900,680,620,590,583,394,676,770,1023,1187,355,571,505,488,431,525,353,1032,982,571,488,468,466,364,538,685,1121,1113,711,484,430,415,410,431,596,975,824,490,405,385,385,398,445,642,1067,1032,641,422,379,357,340,368,524,850,742,405,327,325,324,330,374,572,978,829,536,387,348,323,282,316,424,655,589,348,286,283,282,273,311,448,749,https://phantom-load.in/media/images/Task11/LuminanceGrid/,https://phantom-load.in/media/images/Task11/ScenarioRender/,FALSE,6
Scenario04,"Daylight in, Col 1 and 5 lights are OFF",655,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,877,944,968,975,780,986,988,996,996,827,948,978,983,983,937,923,862,561,612,397,695,310,1055,564,864,716,407,1046,933,725,729,942,349,635,543,504,472,379,575,872,1085,588,588,597,381,1055,819,624,620,917,312,490,415,413,384,409,488,805,1031,675,675,504,636,1040,860,544,537,838,580,397,347,343,338,352,424,735,938,590,590,436,563,922,777,456,452,757,503,332,293,291,318,318,386,603,746,467,467,370,457,724,621,390,384,598,397,276,246,247,https://phantom-load.in/media/images/Task11/LuminanceGrid/,https://phantom-load.in/media/images/Task11/ScenarioRender/,FALSE,8
Scenario05,"Daylight in, Chess Board pattern ON /OFF",595,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1087,1036,966,858,562,886,941,950,767,897,932,921,827,611,881,938,956,785,1004,381,687,696,700,511,651,305,882,795,654,633,678,699,374,654,695,852,800,362,567,886,788,653,520,356,723,653,522,524,681,757,338,510,546,746,752,556,476,603,699,515,425,489,689,600,440,437,585,660,477,415,492,710,676,486,412,548,634,444,362,416,599,520,357,359,523,592,408,344,421,626,437,371,381,531,630,394,309,310,372,353,296,321,495,579,360,283,297,367,https://phantom-load.in/media/images/Task11/LuminanceGrid/,https://phantom-load.in/media/images/Task11/ScenarioRender/,TRUE,10
